pitch_id,game_id,inning,inning_half,outs,balls,strikes,batting_team_name,fielding_team_name,batter_id,pitcher_id,catcher_id,called_strike_or_ball,abs_zone_call,was_challenged,challenge_id,pitch_x,pitch_z,sz_top,sz_bot
P0008439,2025-05-16,5,top,0,2,0,Des Moines Dragons,Charlotte Comets,1034,1028,1015,strike,strike,False,,0.407,1.858,3.21,1.62
P0008440,2025-05-16,4,top,0,1,0,Des Moines Dragons,Charlotte Comets,1036,1025,1015,strike,strike,False,,0.349,2.642,3.21,1.62
P0008441,2025-05-16,1,bottom,0,3,1,Charlotte Comets,Des Moines Dragons,1023,1041,1029,strike,strike,False,,-0.43,2.197,3.21,1.62
P0008442,2025-05-16,5,top,2,1,1,Des Moines Dragons,Charlotte Comets,1037,1024,1015,ball,strike,False,,-0.367,1.675,3.21,1.62
P0008443,2025-05-16,8,top,0,1,2,Des Moines Dragons,Charlotte Comets,1033,1024,1015,strike,strike,False,,-0.632,1.783,3.21,1.62
P0008444,2025-05-16,8,bottom,2,1,1,Charlotte Comets,Des Moines Dragons,1021,1039,1029,ball,ball,False,,0.324,3.356,3.21,1.62
P0008445,2025-05-16,5,top,1,2,1,Des Moines Dragons,Charlotte Comets,1035,1026,1015,ball,ball,False,,0.395,3.407,3.21,1.62
P0008446,2025-05-16,1,top,1,2,1,Des Moines Dragons,Charlotte Comets,1031,1026,1015,ball,ball,False,,-0.9,3.135,3.21,1.62
P0008447,2025-05-16,2,top,2,0,1,Des Moines Dragons,Charlotte Comets,1030,1028,1015,strike,strike,False,,0.437,2.513,3.21,1.62
P0008448,2025-05-16,9,bottom,1,0,2,Charlotte Comets,Des Moines Dragons,1019,1041,1029,strike,strike,False,,0.322,1.636,3.21,1.62
P0008449,2025-05-16,9,top,1,3,2,Des Moines Dragons,Charlotte Comets,1032,1026,1015,ball,ball,False,,0.744,2.959,3.21,1.62
P0000184,2025-05-17,9,bottom,0,3,1,Charlotte Comets,El Paso Explorers,1020,1053,1043,strike,ball,True,CH00184,0.318,1.489,3.21,1.62
P0000258,2025-05-17,8,top,1,0,2,Charlotte Comets,El Paso Explorers,1017,1054,1043,strike,strike,True,CH00258,0.49,3.2,3.21,1.62
P0000538,2025-05-17,7,bottom,0,2,1,El Paso Explorers,Charlotte Comets,1043,1026,1015,strike,strike,True,CH00538,-0.437,3.173,3.21,1.62
P0000798,2025-05-17,7,bottom,1,0,1,El Paso Explorers,Charlotte Comets,1050,1027,1015,ball,strike,True,CH00798,0.273,1.691,3.21,1.62
P0000840,2025-05-17,3,top,2,3,0,Charlotte Comets,El Paso Explorers,1020,1054,1043,ball,ball,True,CH00840,0.751,3.144,3.21,1.62
P0008450,2025-05-17,9,top,2,1,1,El Paso Explorers,Charlotte Comets,1051,1026,1015,strike,strike,False,,-0.319,3.03,3.21,1.62
P0008451,2025-05-17,9,top,2,1,0,El Paso Explorers,Charlotte Comets,1047,1026,1015,ball,ball,False,,-0.759,2.31,3.21,1.62
P0008452,2025-05-17,4,top,1,2,2,El Paso Explorers,Charlotte Comets,1050,1027,1015,strike,strike,False,,0.665,1.956,3.21,1.62
P0008453,2025-05-17,5,top,2,1,0,El Paso Explorers,Charlotte Comets,1043,1025,1015,ball,strike,False,,-0.377,2.515,3.21,1.62
P0008454,2025-05-17,3,top,0,1,1,El Paso Explorers,Charlotte Comets,1045,1024,1015,ball,ball,False,,-0.633,3.254,3.21,1.62
P0008455,2025-05-17,9,top,0,2,2,El Paso Explorers,Charlotte Comets,1044,1025,1015,strike,strike,False,,-0.288,2.372,3.21,1.62
P0008456,2025-05-17,4,top,0,3,1,El Paso Explorers,Charlotte Comets,1046,1026,1015,ball,ball,False,,-0.045,3.312,3.21,1.62
P0008457,2025-05-17,7,top,1,2,0,El Paso Explorers,Charlotte Comets,1048,1028,1015,ball,ball,False,,-0.546,3.267,3.21,1.62
P0008458,2025-05-17,5,top,1,0,0,El Paso Explorers,Charlotte Comets,1049,1027,1015,strike,strike,False,,0.266,2.632,3.21,1.62
P0008459,2025-05-17,1,top,1,2,1,El Paso Explorers,Charlotte Comets,1051,1028,1015,strike,strike,False,,0.197,2.261,3.21,1.62
P0008460,2025-05-17,9,bottom,0,0,0,Charlotte Comets,El Paso Explorers,1018,1052,1043,strike,strike,False,,-0.134,2.31,3.21,1.62
P0008461,2025-05-17,7,bottom,1,3,2,Charlotte Comets,El Paso Explorers,1020,1056,1043,ball,ball,False,,-0.689,3.393,3.21,1.62
P0008462,2025-05-17,2,bottom,1,2,1,Charlotte Comets,El Paso Explorers,1023,1052,1043,strike,strike,False,,0.296,2.003,3.21,1.62
P0008463,2025-05-17,1,top,0,0,1,El Paso Explorers,Charlotte Comets,1047,1024,1015,ball,ball,False,,-0.676,1.21,3.21,1.62
P0008464,2025-05-17,2,top,1,3,0,El Paso Explorers,Charlotte Comets,1050,1024,1015,strike,strike,False,,0.609,3.023,3.21,1.62
P0008465,2025-05-17,8,top,2,0,2,El Paso Explorers,Charlotte Comets,1043,1027,1015,strike,ball,False,,-0.749,1.562,3.21,1.62
P0008466,2025-05-17,4,bottom,1,0,0,Charlotte Comets,El Paso Explorers,1016,1056,1043,ball,ball,False,,0.975,2.05,3.21,1.62
P0008467,2025-05-17,2,bottom,0,0,1,Charlotte Comets,El Paso Explorers,1015,1054,1043,ball,ball,False,,0.814,2.39,3.21,1.62
P0008468,2025-05-17,4,top,1,1,1,El Paso Explorers,Charlotte Comets,1045,1024,1015,ball,strike,False,,-0.435,2.064,3.21,1.62
P0008469,2025-05-17,2,top,2,0,1,El Paso Explorers,Charlotte Comets,1044,1024,1015,strike,strike,False,,-0.124,1.816,3.21,1.62
P0008470,2025-05-17,4,bottom,1,1,2,Charlotte Comets,El Paso Explorers,1022,1054,1043,ball,ball,False,,0.185,3.297,3.21,1.62
P0008471,2025-05-17,4,top,2,2,0,El Paso Explorers,Charlotte Comets,1046,1024,1015,strike,strike,False,,-0.253,3.185,3.21,1.62
P0008472,2025-05-17,7,bottom,0,3,1,Charlotte Comets,El Paso Explorers,1019,1053,1043,strike,strike,False,,0.552,2.42,3.21,1.62
P0008473,2025-05-17,7,bottom,0,1,1,Charlotte Comets,El Paso Explorers,1021,1056,1043,strike,strike,False,,-0.31,2.538,3.21,1.62
P0008474,2025-05-17,2,bottom,0,2,2,Charlotte Comets,El Paso Explorers,1017,1053,1043,ball,ball,False,,0.346,1.538,3.21,1.62
P0008475,2025-05-17,9,top,1,3,2,El Paso Explorers,Charlotte Comets,1048,1024,1015,ball,ball,False,,0.853,3.254,3.21,1.62
P0008476,2025-05-17,7,bottom,2,0,0,Charlotte Comets,El Paso Explorers,1018,1055,1043,ball,ball,False,,0.797,3.388,3.21,1.62
P0008477,2025-05-17,4,bottom,2,2,1,Charlotte Comets,El Paso Explorers,1020,1053,1043,strike,strike,False,,-0.05,3.048,3.21,1.62
P0008478,2025-05-17,2,bottom,0,3,1,Charlotte Comets,El Paso Explorers,1023,1054,1043,strike,strike,False,,-0.046,2.939,3.21,1.62
P0008479,2025-05-17,9,bottom,0,2,0,Charlotte Comets,El Paso Explorers,1016,1056,1043,strike,strike,False,,-0.161,1.74,3.21,1.62
P0008480,2025-05-17,7,bottom,2,0,0,Charlotte Comets,El Paso Explorers,1015,1053,1043,ball,ball,False,,0.521,1.474,3.21,1.62
P0008481,2025-05-17,3,bottom,1,1,2,Charlotte Comets,El Paso Explorers,1022,1056,1043,strike,strike,False,,0.115,1.791,3.21,1.62
P0008482,2025-05-17,5,top,0,0,1,El Paso Explorers,Charlotte Comets,1049,1025,1015,strike,strike,False,,0.593,2.554,3.21,1.62
P0008483,2025-05-17,5,bottom,1,1,1,Charlotte Comets,El Paso Explorers,1019,1056,1043,ball,ball,False,,0.164,3.389,3.21,1.62
P0008484,2025-05-17,6,top,0,3,0,El Paso Explorers,Charlotte Comets,1051,1028,1015,strike,strike,False,,0.497,1.741,3.21,1.62
P0008485,2025-05-17,9,bottom,2,2,1,Charlotte Comets,El Paso Explorers,1021,1053,1043,strike,strike,False,,0.1,2.8,3.21,1.62
P0008486,2025-05-17,9,bottom,0,3,0,Charlotte Comets,El Paso Explorers,1017,1053,1043,strike,strike,False,,0.658,1.971,3.21,1.62
P0008487,2025-05-17,1,bottom,2,3,1,Charlotte Comets,El Paso Explorers,1018,1052,1043,strike,strike,False,,-0.689,2.693,3.21,1.62
P0008488,2025-05-17,8,bottom,0,0,1,Charlotte Comets,El Paso Explorers,1020,1055,1043,ball,ball,False,,-0.804,2.055,3.21,1.62
P0008489,2025-05-17,2,bottom,1,3,0,Charlotte Comets,El Paso Explorers,1023,1056,1043,strike,strike,False,,0.66,2.516,3.21,1.62
P0008490,2025-05-17,1,bottom,2,0,1,Charlotte Comets,El Paso Explorers,1016,1056,1043,strike,strike,False,,0.058,2.208,3.21,1.62
P0008491,2025-05-17,9,top,2,1,1,El Paso Explorers,Charlotte Comets,1047,1028,1015,ball,ball,False,,-0.367,3.375,3.21,1.62
P0008492,2025-05-17,2,bottom,2,2,2,Charlotte Comets,El Paso Explorers,1015,1055,1043,strike,strike,False,,-0.547,2.071,3.21,1.62
P0008493,2025-05-17,8,bottom,0,2,1,Charlotte Comets,El Paso Explorers,1022,1052,1043,ball,ball,False,,-0.249,1.437,3.21,1.62
P0008494,2025-05-17,9,bottom,1,2,0,Charlotte Comets,El Paso Explorers,1019,1052,1043,ball,ball,False,,1.005,2.601,3.21,1.62
P0008495,2025-05-17,1,top,2,1,0,El Paso Explorers,Charlotte Comets,1050,1024,1015,ball,ball,False,,0.883,1.398,3.21,1.62
P0008496,2025-05-17,5,top,1,0,2,El Paso Explorers,Charlotte Comets,1043,1028,1015,strike,strike,False,,-0.171,2.373,3.21,1.62
P0008497,2025-05-17,1,bottom,0,0,1,Charlotte Comets,El Paso Explorers,1021,1052,1043,strike,strike,False,,0.049,3.088,3.21,1.62
P0008498,2025-05-17,2,bottom,1,0,1,Charlotte Comets,El Paso Explorers,1017,1055,1043,ball,strike,False,,0.149,3.089,3.21,1.62
P0008499,2025-05-17,7,bottom,2,3,2,Charlotte Comets,El Paso Explorers,1018,1056,1043,strike,ball,False,,0.044,1.545,3.21,1.62
P0008500,2025-05-17,7,bottom,2,3,1,Charlotte Comets,El Paso Explorers,1020,1056,1043,strike,strike,False,,-0.63,2.741,3.21,1.62
P0008501,2025-05-17,7,bottom,1,3,0,Charlotte Comets,El Paso Explorers,1023,1056,1043,ball,ball,False,,-0.825,2.388,3.21,1.62
P0008502,2025-05-17,3,top,2,2,0,El Paso Explorers,Charlotte Comets,1045,1025,1015,strike,strike,False,,0.128,2.171,3.21,1.62
P0008503,2025-05-17,2,bottom,0,2,2,Charlotte Comets,El Paso Explorers,1016,1053,1043,strike,strike,False,,0.298,1.786,3.21,1.62
P0008504,2025-05-17,7,bottom,1,0,1,Charlotte Comets,El Paso Explorers,1015,1052,1043,strike,strike,False,,0.162,2.135,3.21,1.62
P0008505,2025-05-17,7,bottom,0,2,2,Charlotte Comets,El Paso Explorers,1022,1056,1043,ball,ball,False,,0.659,3.364,3.21,1.62
P0008506,2025-05-17,3,bottom,0,1,2,Charlotte Comets,El Paso Explorers,1019,1056,1043,strike,strike,False,,-0.504,1.688,3.21,1.62
P0008507,2025-05-17,8,bottom,1,1,1,Charlotte Comets,El Paso Explorers,1021,1054,1043,ball,ball,False,,0.293,3.23,3.21,1.62
P0008508,2025-05-17,9,top,2,2,2,El Paso Explorers,Charlotte Comets,1044,1028,1015,ball,ball,False,,-1.393,2.47,3.21,1.62
P0008509,2025-05-17,4,bottom,0,3,2,Charlotte Comets,El Paso Explorers,1017,1053,1043,ball,ball,False,,1.5,2.467,3.21,1.62
P0008510,2025-05-17,6,top,0,1,0,El Paso Explorers,Charlotte Comets,1046,1024,1015,strike,strike,False,,0.63,3.085,3.21,1.62
P0008511,2025-05-17,6,top,2,2,2,El Paso Explorers,Charlotte Comets,1048,1026,1015,ball,ball,False,,1.004,2.584,3.21,1.62
P0008512,2025-05-17,8,bottom,2,2,1,Charlotte Comets,El Paso Explorers,1018,1054,1043,strike,strike,False,,0.267,1.718,3.21,1.62
P0008513,2025-05-17,8,bottom,2,2,1,Charlotte Comets,El Paso Explorers,1020,1053,1043,strike,strike,False,,-0.081,1.976,3.21,1.62
P0008514,2025-05-17,9,bottom,0,0,1,Charlotte Comets,El Paso Explorers,1023,1056,1043,strike,strike,False,,-0.503,3.112,3.21,1.62
P0008515,2025-05-17,2,bottom,0,0,1,Charlotte Comets,El Paso Explorers,1016,1055,1043,ball,ball,False,,0.958,2.398,3.21,1.62
P0008516,2025-05-17,8,bottom,1,3,2,Charlotte Comets,El Paso Explorers,1015,1056,1043,ball,strike,False,,0.42,2.434,3.21,1.62
P0008517,2025-05-17,9,top,0,0,1,El Paso Explorers,Charlotte Comets,1049,1025,1015,strike,strike,False,,0.038,1.777,3.21,1.62
P0008518,2025-05-17,9,bottom,1,2,0,Charlotte Comets,El Paso Explorers,1022,1052,1043,strike,strike,False,,-0.402,2.518,3.21,1.62
P0008519,2025-05-17,3,bottom,1,1,0,Charlotte Comets,El Paso Explorers,1019,1052,1043,ball,ball,False,,-1.098,1.397,3.21,1.62
P0008520,2025-05-17,2,bottom,0,0,1,Charlotte Comets,El Paso Explorers,1021,1052,1043,strike,strike,False,,-0.203,2.178,3.21,1.62
P0008521,2025-05-17,5,top,2,1,0,El Paso Explorers,Charlotte Comets,1051,1028,1015,strike,strike,False,,-0.429,1.665,3.21,1.62
P0008522,2025-05-17,8,bottom,2,1,2,Charlotte Comets,El Paso Explorers,1017,1052,1043,ball,ball,False,,0.09,1.181,3.21,1.62
P0008523,2025-05-17,9,bottom,0,0,2,Charlotte Comets,El Paso Explorers,1018,1052,1043,strike,strike,False,,-0.515,2.015,3.21,1.62
P0008524,2025-05-17,1,top,0,2,2,El Paso Explorers,Charlotte Comets,1047,1026,1015,ball,ball,False,,0.835,2.19,3.21,1.62
P0008525,2025-05-17,8,bottom,2,2,2,Charlotte Comets,El Paso Explorers,1020,1056,1043,strike,strike,False,,-0.238,2.787,3.21,1.62
P0008526,2025-05-17,1,bottom,2,1,2,Charlotte Comets,El Paso Explorers,1023,1052,1043,ball,strike,False,,0.001,3.022,3.21,1.62
P0008527,2025-05-17,1,bottom,2,0,0,Charlotte Comets,El Paso Explorers,1016,1053,1043,ball,ball,False,,-1.115,1.996,3.21,1.62
P0008528,2025-05-17,8,bottom,2,3,0,Charlotte Comets,El Paso Explorers,1015,1056,1043,ball,ball,False,,0.859,2.616,3.21,1.62
P0008529,2025-05-17,8,bottom,0,1,1,Charlotte Comets,El Paso Explorers,1022,1052,1043,ball,ball,False,,-0.028,3.701,3.21,1.62
P0008530,2025-05-17,2,bottom,2,0,0,Charlotte Comets,El Paso Explorers,1019,1054,1043,strike,strike,False,,0.542,2.364,3.21,1.62
P0008531,2025-05-17,2,bottom,1,3,1,Charlotte Comets,El Paso Explorers,1021,1055,1043,ball,ball,False,,0.754,2.334,3.21,1.62
P0008532,2025-05-17,4,bottom,0,1,2,Charlotte Comets,El Paso Explorers,1017,1055,1043,ball,strike,False,,0.191,2.186,3.21,1.62
P0008533,2025-05-17,2,top,2,1,2,El Paso Explorers,Charlotte Comets,1050,1024,1015,ball,ball,False,,0.186,1.508,3.21,1.62
P0008534,2025-05-17,9,bottom,2,2,1,Charlotte Comets,El Paso Explorers,1018,1056,1043,ball,ball,False,,0.387,3.39,3.21,1.62
P0008535,2025-05-17,1,top,0,1,1,El Paso Explorers,Charlotte Comets,1043,1025,1015,strike,strike,False,,0.419,2.559,3.21,1.62
P0008536,2025-05-17,3,top,1,3,2,El Paso Explorers,Charlotte Comets,1045,1026,1015,ball,ball,False,,0.881,2.423,3.21,1.62
P0008537,2025-05-17,9,bottom,0,2,0,Charlotte Comets,El Paso Explorers,1020,1054,1043,ball,ball,False,,-0.401,1.509,3.21,1.62
P0008538,2025-05-17,1,top,0,1,0,El Paso Explorers,Charlotte Comets,1044,1024,1015,strike,strike,False,,-0.428,2.632,3.21,1.62
P0008539,2025-05-17,7,bottom,1,0,0,Charlotte Comets,El Paso Explorers,1023,1055,1043,strike,strike,False,,0.347,1.712,3.21,1.62
P0008540,2025-05-17,3,bottom,2,3,1,Charlotte Comets,El Paso Explorers,1016,1056,1043,ball,ball,False,,-1.084,2.732,3.21,1.62
P0008541,2025-05-17,2,top,0,2,0,El Paso Explorers,Charlotte Comets,1046,1025,1015,strike,strike,False,,0.307,3.001,3.21,1.62
P0008542,2025-05-17,7,top,2,0,2,El Paso Explorers,Charlotte Comets,1048,1026,1015,ball,ball,False,,0.156,3.227,3.21,1.62
P0008543,2025-05-17,9,bottom,1,3,0,Charlotte Comets,El Paso Explorers,1015,1053,1043,ball,ball,False,,0.916,1.773,3.21,1.62
P0008544,2025-05-17,4,top,1,3,0,El Paso Explorers,Charlotte Comets,1049,1025,1015,ball,ball,False,,-0.948,2.092,3.21,1.62
P0008545,2025-05-17,1,bottom,2,0,2,Charlotte Comets,El Paso Explorers,1022,1056,1043,strike,strike,False,,0.651,2.123,3.21,1.62
P0008546,2025-05-17,8,top,0,1,1,El Paso Explorers,Charlotte Comets,1051,1024,1015,strike,strike,False,,0.554,2.259,3.21,1.62
P0008547,2025-05-17,9,top,2,0,2,El Paso Explorers,Charlotte Comets,1047,1027,1015,ball,ball,False,,0.894,2.052,3.21,1.62
P0008548,2025-05-17,4,top,1,3,0,El Paso Explorers,Charlotte Comets,1050,1028,1015,strike,strike,False,,-0.608,3.114,3.21,1.62
P0008549,2025-05-17,3,bottom,2,2,0,Charlotte Comets,El Paso Explorers,1019,1055,1043,strike,strike,False,,-0.043,2.585,3.21,1.62
P0008550,2025-05-17,3,bottom,2,3,0,Charlotte Comets,El Paso Explorers,1021,1053,1043,ball,ball,False,,-0.892,2.657,3.21,1.62
P0008551,2025-05-17,5,bottom,2,3,1,Charlotte Comets,El Paso Explorers,1017,1054,1043,ball,ball,False,,-0.955,2.944,3.21,1.62
P0008552,2025-05-17,6,top,2,3,0,El Paso Explorers,Charlotte Comets,1043,1026,1015,ball,ball,False,,-0.904,3.049,3.21,1.62
P0008553,2025-05-17,1,bottom,1,3,0,Charlotte Comets,El Paso Explorers,1018,1056,1043,strike,ball,False,,0.835,1.667,3.21,1.62
P0008554,2025-05-17,2,top,0,2,1,El Paso Explorers,Charlotte Comets,1045,1025,1015,strike,strike,False,,-0.116,2.189,3.21,1.62
P0008555,2025-05-17,2,bottom,2,1,2,Charlotte Comets,El Paso Explorers,1020,1055,1043,ball,ball,False,,0.765,1.573,3.21,1.62
P0008556,2025-05-17,7,bottom,1,1,0,Charlotte Comets,El Paso Explorers,1023,1056,1043,strike,strike,False,,0.598,3.127,3.21,1.62
P0008557,2025-05-17,1,top,1,0,0,El Paso Explorers,Charlotte Comets,1044,1026,1015,strike,strike,False,,0.704,2.04,3.21,1.62
P0008558,2025-05-17,4,bottom,0,0,0,Charlotte Comets,El Paso Explorers,1016,1053,1043,strike,ball,False,,-0.236,3.215,3.21,1.62
P0008559,2025-05-17,4,bottom,1,0,2,Charlotte Comets,El Paso Explorers,1015,1055,1043,strike,strike,False,,0.225,2.497,3.21,1.62
P0008560,2025-05-17,7,top,2,2,2,El Paso Explorers,Charlotte Comets,1046,1025,1015,ball,ball,False,,-0.766,1.539,3.21,1.62
P0008561,2025-05-17,4,bottom,2,3,0,Charlotte Comets,El Paso Explorers,1022,1054,1043,strike,strike,False,,-0.472,2.802,3.21,1.62
P0008562,2025-05-17,3,bottom,2,0,0,Charlotte Comets,El Paso Explorers,1019,1055,1043,ball,ball,False,,-0.709,2.467,3.21,1.62
P0008563,2025-05-17,1,top,1,0,0,El Paso Explorers,Charlotte Comets,1048,1027,1015,strike,ball,False,,-0.013,3.338,3.21,1.62
P0008564,2025-05-17,1,bottom,0,0,0,Charlotte Comets,El Paso Explorers,1021,1056,1043,ball,ball,False,,1.029,2.995,3.21,1.62
P0008565,2025-05-17,4,bottom,0,0,2,Charlotte Comets,El Paso Explorers,1017,1055,1043,strike,strike,False,,0.707,1.745,3.21,1.62
P0008566,2025-05-17,2,bottom,2,1,1,Charlotte Comets,El Paso Explorers,1018,1052,1043,strike,strike,False,,0.502,1.733,3.21,1.62
P0008567,2025-05-17,5,bottom,2,2,2,Charlotte Comets,El Paso Explorers,1020,1056,1043,strike,strike,False,,0.055,2.572,3.21,1.62
P0008568,2025-05-17,9,bottom,0,2,0,Charlotte Comets,El Paso Explorers,1023,1056,1043,strike,strike,False,,-0.212,2.552,3.21,1.62
P0008569,2025-05-17,9,top,0,2,1,El Paso Explorers,Charlotte Comets,1049,1028,1015,ball,ball,False,,-0.416,3.504,3.21,1.62
P0008570,2025-05-17,9,top,0,1,2,El Paso Explorers,Charlotte Comets,1051,1026,1015,ball,ball,False,,0.176,1.496,3.21,1.62
P0008571,2025-05-17,7,top,2,0,2,El Paso Explorers,Charlotte Comets,1047,1025,1015,ball,ball,False,,-0.648,1.252,3.21,1.62
P0008572,2025-05-17,9,top,0,3,2,El Paso Explorers,Charlotte Comets,1050,1028,1015,strike,strike,False,,0.171,2.453,3.21,1.62
P0008573,2025-05-17,6,bottom,2,3,0,Charlotte Comets,El Paso Explorers,1016,1055,1043,ball,strike,False,,0.356,3.187,3.21,1.62
P0008574,2025-05-17,8,bottom,1,3,1,Charlotte Comets,El Paso Explorers,1015,1055,1043,strike,strike,False,,0.627,2.284,3.21,1.62
P0008575,2025-05-17,6,bottom,2,1,0,Charlotte Comets,El Paso Explorers,1022,1053,1043,ball,strike,False,,-0.523,2.15,3.21,1.62
P0008576,2025-05-17,3,top,0,3,2,El Paso Explorers,Charlotte Comets,1043,1027,1015,strike,strike,False,,-0.31,2.414,3.21,1.62
P0008577,2025-05-17,5,top,0,2,1,El Paso Explorers,Charlotte Comets,1045,1024,1015,strike,strike,False,,-0.676,2.229,3.21,1.62
P0008578,2025-05-17,8,bottom,1,3,0,Charlotte Comets,El Paso Explorers,1019,1053,1043,ball,ball,False,,-0.793,2.08,3.21,1.62
P0008579,2025-05-17,5,bottom,2,0,1,Charlotte Comets,El Paso Explorers,1021,1056,1043,ball,ball,False,,-0.731,3.521,3.21,1.62
P0008580,2025-05-17,7,top,0,2,0,El Paso Explorers,Charlotte Comets,1044,1024,1015,ball,ball,False,,0.535,1.482,3.21,1.62
P0008581,2025-05-17,1,top,1,1,2,El Paso Explorers,Charlotte Comets,1046,1024,1015,strike,strike,False,,0.013,2.001,3.21,1.62
P0008582,2025-05-17,3,top,1,0,1,El Paso Explorers,Charlotte Comets,1048,1026,1015,ball,ball,False,,-1.033,1.445,3.21,1.62
P0008583,2025-05-17,4,top,0,3,0,El Paso Explorers,Charlotte Comets,1049,1028,1015,ball,ball,False,,-0.829,2.607,3.21,1.62
P0008584,2025-05-17,1,bottom,1,0,1,Charlotte Comets,El Paso Explorers,1017,1056,1043,strike,strike,False,,0.301,2.684,3.21,1.62
P0008585,2025-05-17,6,bottom,1,1,1,Charlotte Comets,El Paso Explorers,1018,1053,1043,ball,ball,False,,-0.757,2.287,3.21,1.62
P0008586,2025-05-17,5,top,1,1,0,El Paso Explorers,Charlotte Comets,1051,1026,1015,strike,strike,False,,-0.301,2.407,3.21,1.62
P0008587,2025-05-17,6,top,1,1,0,El Paso Explorers,Charlotte Comets,1047,1028,1015,ball,ball,False,,0.901,2.581,3.21,1.62
P0008588,2025-05-17,7,top,1,2,0,El Paso Explorers,Charlotte Comets,1050,1028,1015,strike,strike,False,,0.471,2.161,3.21,1.62
P0008589,2025-05-17,9,top,2,3,0,El Paso Explorers,Charlotte Comets,1043,1026,1015,strike,strike,False,,-0.138,2.48,3.21,1.62
P0008590,2025-05-17,7,top,2,1,0,El Paso Explorers,Charlotte Comets,1045,1027,1015,strike,strike,False,,0.297,2.995,3.21,1.62
P0008591,2025-05-17,2,top,1,0,1,El Paso Explorers,Charlotte Comets,1044,1028,1015,strike,strike,False,,0.502,2.055,3.21,1.62
P0008592,2025-05-17,7,bottom,0,1,2,Charlotte Comets,El Paso Explorers,1020,1055,1043,strike,strike,False,,-0.435,3.102,3.21,1.62
P0008593,2025-05-17,6,bottom,0,1,1,Charlotte Comets,El Paso Explorers,1023,1056,1043,strike,strike,False,,0.349,2.627,3.21,1.62
P0008594,2025-05-17,9,top,1,2,0,El Paso Explorers,Charlotte Comets,1046,1027,1015,ball,ball,False,,0.689,3.507,3.21,1.62
P0008595,2025-05-17,5,top,1,0,1,El Paso Explorers,Charlotte Comets,1048,1027,1015,strike,strike,False,,0.015,2.305,3.21,1.62
P0008596,2025-05-17,6,bottom,0,2,2,Charlotte Comets,El Paso Explorers,1016,1052,1043,ball,ball,False,,-0.086,1.291,3.21,1.62
P0008597,2025-05-17,5,bottom,0,0,0,Charlotte Comets,El Paso Explorers,1015,1054,1043,strike,strike,False,,-0.208,3.128,3.21,1.62
P0008598,2025-05-17,4,bottom,2,1,2,Charlotte Comets,El Paso Explorers,1022,1056,1043,ball,strike,False,,0.049,3.207,3.21,1.62
P0008599,2025-05-17,1,bottom,0,2,2,Charlotte Comets,El Paso Explorers,1019,1053,1043,strike,ball,False,,-0.128,1.589,3.21,1.62
P0008600,2025-05-17,8,bottom,1,3,0,Charlotte Comets,El Paso Explorers,1021,1055,1043,strike,strike,False,,-0.58,2.526,3.21,1.62
P0008601,2025-05-17,8,top,0,2,0,El Paso Explorers,Charlotte Comets,1049,1027,1015,strike,strike,False,,-0.158,1.812,3.21,1.62
P0008602,2025-05-17,8,bottom,2,1,0,Charlotte Comets,El Paso Explorers,1017,1055,1043,ball,ball,False,,-0.484,3.779,3.21,1.62
P0008603,2025-05-17,9,top,0,0,1,El Paso Explorers,Charlotte Comets,1051,1027,1015,strike,strike,False,,0.017,2.517,3.21,1.62
P0008604,2025-05-17,6,top,0,1,0,El Paso Explorers,Charlotte Comets,1047,1028,1015,strike,strike,False,,0.614,1.947,3.21,1.62
P0008605,2025-05-17,9,top,0,3,0,El Paso Explorers,Charlotte Comets,1050,1024,1015,strike,strike,False,,-0.686,2.118,3.21,1.62
P0008606,2025-05-17,5,bottom,1,0,1,Charlotte Comets,El Paso Explorers,1018,1052,1043,strike,ball,False,,-0.132,1.523,3.21,1.62
P0008607,2025-05-17,1,bottom,1,1,0,Charlotte Comets,El Paso Explorers,1020,1053,1043,ball,ball,False,,0.843,3.007,3.21,1.62
P0008608,2025-05-17,2,top,2,0,1,El Paso Explorers,Charlotte Comets,1043,1026,1015,ball,ball,False,,1.104,2.383,3.21,1.62
P0008609,2025-05-17,3,top,2,1,2,El Paso Explorers,Charlotte Comets,1045,1025,1015,strike,strike,False,,0.484,1.975,3.21,1.62
P0008610,2025-05-17,1,top,0,0,0,El Paso Explorers,Charlotte Comets,1044,1025,1015,strike,strike,False,,-0.462,2.668,3.21,1.62
P0008611,2025-05-17,9,bottom,1,2,1,Charlotte Comets,El Paso Explorers,1023,1053,1043,strike,strike,False,,-0.582,1.873,3.21,1.62
P0008612,2025-05-17,7,top,1,0,2,El Paso Explorers,Charlotte Comets,1046,1028,1015,strike,strike,False,,-0.335,2.568,3.21,1.62
P0008613,2025-05-17,7,top,2,1,2,El Paso Explorers,Charlotte Comets,1048,1024,1015,ball,ball,False,,0.528,3.308,3.21,1.62
P0008614,2025-05-17,1,bottom,1,1,2,Charlotte Comets,El Paso Explorers,1016,1053,1043,strike,strike,False,,0.701,3.202,3.21,1.62
P0000391,2025-05-18,3,bottom,1,2,2,Des Moines Dragons,El Paso Explorers,1037,1052,1043,strike,ball,True,CH00391,-0.798,3.181,3.21,1.62
P0000443,2025-05-18,3,top,1,2,1,El Paso Explorers,Des Moines Dragons,1048,1040,1029,strike,ball,True,CH00443,-0.766,2.631,3.21,1.62
